P0_12 np=1/2/4 consistency audit
FAIL np=2 key=sampled_norm ref=None cur=None
FAIL np=2 key=force_buffer_norm ref=None cur=None
FAIL np=2 key=rhs_increment_norm ref=None cur=None
FAIL np=2 key=lambda0_rhs_increment_norm ref=None cur=None
FAIL np=2 key=smalllambda_rhs_increment_norm ref=None cur=None
FAIL np=2 key=rhs_increment_max ref=None cur=None
FAIL np=2 key=conservation_scale_error ref=None cur=None
FAIL np=4 key=sampled_norm ref=None cur=None
FAIL np=4 key=force_buffer_norm ref=None cur=None
FAIL np=4 key=rhs_increment_norm ref=None cur=None
FAIL np=4 key=lambda0_rhs_increment_norm ref=None cur=None
FAIL np=4 key=smalllambda_rhs_increment_norm ref=None cur=None
FAIL np=4 key=rhs_increment_max ref=None cur=None
FAIL np=4 key=conservation_scale_error ref=None cur=None
